solver;instance_source_file_name;time_limit;time;gap;nodes;best_solution;best_bound;matrix_constraints;matrix_variables;matrix_nonzeros;matrix_post_constraints;matrix_post_variables;matrix_post_nonzeros;first_relaxed;first_solution_BestInteger;first_solution_CutsBestBound;cut_info_best_bound;cut_info_best_solution;cut_info_time;cut_info_CLIQUE;cut_info_COVER;cut_info_FLOW;cut_info_GOMORY;cut_info_LIFT_AND_PROJECT;cut_info_MIR;cut_info_OUTROS;cut_info_ZERO_HALF
GUROBI;16Cap40.txt;300;18,77;0;10530,0;1966,6;1966,6;10200;20100;34206;200;7153;14206;923,9;9383,3;923,9;1787,86862;2300,5;0,0;238;484;25;24;;111;36;3
CBC;16Cap40.txt;300;209,86;0;6496;1966,6;1966,6;10200;20100;34206;200;7153;14206;1854,7289;5978,2;1854,7289;;;;;;;;;;;
CPLEX;16Cap40.txt;600;12,51;0;5629,0;1966,6;1966,4162508;200;7153;14206;200;6894;13688;0,0;94018,4;0,0;1857,7824;2053,5;3,07;252;633;19;10;;108;;21
GUROBI;16Cap40.txt;600;18,77;0;10530,0;1966,6;1966,6;10200;20100;34206;200;7153;14206;923,9;9383,3;923,9;1787,86862;2300,5;0,0;238;484;25;24;;111;36;3
CBC;16Cap40.txt;600;210,61;0;6496;1966,6;1966,6;10200;20100;34206;200;7153;14206;1854,7289;5978,2;1854,7289;;;;;;;;;;;
CPLEX;16Cap50.txt;120;12,94;0;6211,0;1953,7;1953,5095795;200;7153;14206;200;6706;13312;0,0;114535,6;0,0;1840,3564;2032,7;3,57;306;624;8;6;;68;;12
GUROBI;16Cap50.txt;120;16,01;0;7837,0;1953,7;1953,7;10200;20100;34206;200;7153;14206;802,6;9284,1;802,6;1805,2108;2303,1;1,0;274;478;28;24;;103;43;1
CBC;16Cap50.txt;120;119,96;8,05032474020783;4219;2001,6;1840,4647;10200;20100;34206;200;7153;14206;1840,4647;6120,8;1840,4647;;;;;;;;;;;
CPLEX;16Cap50.txt;300;12,72;0;6211,0;1953,7;1953,5095795;200;7153;14206;200;6706;13312;0,0;114535,6;0,0;1840,3564;2032,7;3,47;306;624;8;6;;68;;12
GUROBI;16Cap50.txt;300;16,03;0;7837,0;1953,7;1953,7;10200;20100;34206;200;7153;14206;802,6;9284,1;802,6;1805,2108;2303,1;1,0;274;478;28;24;;103;43;1
CBC;16Cap50.txt;300;223,7;0;7435;1953,7;1953,7;10200;20100;34206;200;7153;14206;1840,4647;6120,8;1840,4647;;;;;;;;;;;
CPLEX;16Cap50.txt;600;12,89;0;6211,0;1953,7;1953,5095795;200;7153;14206;200;6706;13312;0,0;114535,6;0,0;1840,3564;2032,7;3,57;306;624;8;6;;68;;12
GUROBI;16Cap50.txt;600;16,03;0;7837,0;1953,7;1953,7;10200;20100;34206;200;7153;14206;802,6;9284,1;802,6;1805,2108;2303,1;1,0;274;478;28;24;;103;43;1
CBC;16Cap50.txt;600;223,61;0;7435;1953,7;1953,7;10200;20100;34206;200;7153;14206;1840,4647;6120,8;1840,4647;;;;;;;;;;;
CPLEX;17Cap10.txt;120;10,82;0;8202,0;2992,6;2992,3070689;200;7101;14102;200;3085;6070;0,0;35547,3;0,0;2954,3241;3043,5;2,12;82;480;14;12;;50;;38
GUROBI;17Cap10.txt;120;14,12;0;18143,0;2992,6;2992,6;10200;20100;34102;200;7101;14102;2273,7;10801,0;2273,7;2925,51034;3104,7;0,0;45;161;130;37;;99;38;1
CBC;17Cap10.txt;120;119,96;1,6074216400454495;5921;2992,6;2944,4963;10200;20100;34102;200;7101;14102;2942,163;3544,8;2942,163;;;;;;;;;;;
CPLEX;17Cap10.txt;300;10,88;0;8202,0;2992,6;2992,3070689;200;7101;14102;200;3085;6070;0,0;35547,3;0,0;2954,3241;3043,5;2,16;82;480;14;12;;50;;38
GUROBI;17Cap10.txt;300;14,08;0;18143,0;2992,6;2992,6;10200;20100;34102;200;7101;14102;2273,7;10801,0;2273,7;2925,51034;3104,7;0,0;45;161;130;37;;99;38;1
CBC;17Cap10.txt;300;140,85;0;6859;2992,6;2992,6;10200;20100;34102;200;7101;14102;2942,163;3544,8;2942,163;;;;;;;;;;;
CPLEX;17Cap10.txt;600;10,86;0;8202,0;2992,6;2992,3070689;200;7101;14102;200;3085;6070;0,0;35547,3;0,0;2954,3241;3043,5;2,11;82;480;14;12;;50;;38
GUROBI;17Cap10.txt;600;14,13;0;18143,0;2992,6;2992,6;10200;20100;34102;200;7101;14102;2273,7;10801,0;2273,7;2925,51034;3104,7;0,0;45;161;130;37;;99;38;1
CBC;17Cap10.txt;600;141,0;0;6859;2992,6;2992,6;10200;20100;34102;200;7101;14102;2942,163;3544,8;2942,163;;;;;;;;;;;
CPLEX;17Cap20.txt;120;26,11;0;18916,0;2263,2;2262,9852262;200;7101;14102;200;7101;14102;0,0;56702,7;0,0;2185,3349;2488,2;2,51;164;715;21;12;;55;;39
