solver;instance_source_file_name;time_limit;time;gap;nodes;best_solution;best_bound;matrix_constraints;matrix_variables;matrix_nonzeros;matrix_post_constraints;matrix_post_variables;matrix_post_nonzeros;first_relaxed;first_solution_BestInteger;first_solution_CutsBestBound;cut_info_best_bound;cut_info_best_solution;cut_info_time;cut_info_CLIQUE;cut_info_COVER;cut_info_FLOW;cut_info_GOMORY;cut_info_IMPLIED_BOUND;cut_info_LIFT_AND_PROJECT;cut_info_MIR;cut_info_OUTROS;cut_info_ZERO_HALF
CPLEX;cap94;600;0,04;0;0,0;188762,61786;188762,61786;75;1274;2524;75;1274;2524;0,0;16879200,0;0,0;188762,6179;188762,6179;0,04;;;;3;27;1;;;
GUROBI;cap94;600;0,02;0;1,0;188762,617863;188762,617863;75;1275;2525;75;1274;2524;185755,772;2329519,09;185755,772;187885,077;188762,618;0,0;;;;1;15;;;;
CBC;cap94;600;0,12;0;6;188762,6178630594;188762,6178630594;75;1275;2525;75;1274;2524;187187,97;213817,98;187187,97;;;;;;;;;;;;
CPLEX;cap101;120;0,08;0;0,0;114586,35;114586,35;75;1274;2524;74;1274;2474;0,0;347237,1;0,0;114586,35;114586,35;0,08;;;6;5;71;;22;;
GUROBI;cap101;120;0,01;0;1,0;114586,35;114586,35;75;1275;2525;74;824;1574;106344,485;986690,866;106344,485;106344,485;114586,35;0,0;;;;3;23;;18;1;
CBC;cap101;120;0,1;0;6;114586,3500000028;114586,3500000028;75;1275;2525;75;1274;2524;110820,17;134715,43;110820,17;;;;;;;;;;;;
CPLEX;cap101;300;0,1;0;0,0;114586,35;114586,35;75;1274;2524;74;1274;2474;0,0;347237,1;0,0;114586,35;114586,35;0,1;;;6;5;71;;22;;
GUROBI;cap101;300;0,02;0;1,0;114586,35;114586,35;75;1275;2525;74;824;1574;106344,485;986690,866;106344,485;106344,485;114586,35;0,0;;;;3;23;;18;1;
CBC;cap101;300;0,1;0;6;114586,3500000028;114586,3500000028;75;1275;2525;75;1274;2524;110820,17;134715,43;110820,17;;;;;;;;;;;;
CPLEX;cap101;600;0,08;0;0,0;114586,35;114586,35;75;1274;2524;74;1274;2474;0,0;347237,1;0,0;114586,35;114586,35;0,08;;;6;5;71;;22;;
GUROBI;cap101;600;0,01;0;1,0;114586,35;114586,35;75;1275;2525;74;824;1574;106344,485;986690,866;106344,485;106344,485;114586,35;0,0;;;;3;23;;18;1;
CBC;cap101;600;0,1;0;6;114586,3500000028;114586,3500000028;75;1275;2525;75;1274;2524;110820,17;134715,43;110820,17;;;;;;;;;;;;
CPLEX;cap102;120;0,09;0;0,0;124586,35;124586,35;75;1274;2524;74;1274;2474;0,0;352237,1;0,0;124586,35;124586,35;0,08;;;7;5;72;1;6;;
GUROBI;cap102;120;0,02;0;1,0;124586,35;124586,35;75;1275;2525;74;824;1574;112126,882;1076690,87;112126,882;124586,35;124586,35;0,0;;;;3;25;;18;;
CBC;cap102;120;0,11;0;6;124586,3500000028;124586,3500000028;75;1275;2525;75;1274;2524;118388,6;149504,97;118388,6;;;;;;;;;;;;
CPLEX;cap102;300;0,08;0;0,0;124586,35;124586,35;75;1274;2524;74;1274;2474;0,0;352237,1;0,0;124586,35;124586,35;0,08;;;7;5;72;1;6;;
GUROBI;cap102;300;0,02;0;1,0;124586,35;124586,35;75;1275;2525;74;824;1574;112126,882;1076690,87;112126,882;124586,35;124586,35;0,0;;;;3;25;;18;;
CBC;cap102;300;0,11;0;6;124586,3500000028;124586,3500000028;75;1275;2525;75;1274;2524;118388,6;149504,97;118388,6;;;;;;;;;;;;
CPLEX;cap102;600;0,09;0;0,0;124586,35;124586,35;75;1274;2524;74;1274;2474;0,0;352237,1;0,0;124586,35;124586,35;0,09;;;7;5;72;1;6;;
GUROBI;cap102;600;0,02;0;1,0;124586,35;124586,35;75;1275;2525;74;824;1574;112126,882;1076690,87;112126,882;124586,35;124586,35;0,0;;;;3;25;;18;;
