solver;instance_source_file_name;time_limit;time;gap;nodes;best_solution;best_bound;matrix_constraints;matrix_variables;matrix_nonzeros;matrix_post_constraints;matrix_post_variables;matrix_post_nonzeros;first_relaxed;first_solution_BestInteger;first_solution_CutsBestBound;cut_info_best_bound;cut_info_best_solution;cut_info_time;cut_info_CLIQUE;cut_info_COVER;cut_info_FLOW;cut_info_GOMORY;cut_info_IMPLIED_BOUND;cut_info_LIFT_AND_PROJECT;cut_info_MIR;cut_info_OUTROS;cut_info_ZERO_HALF;cut_info_CLIQUE;cut_info_COVER;cut_info_FLOW;cut_info_GOMORY;cut_info_MIR;cut_info_OUTROS;cut_info_ZERO_HALF;cut_info_FLOW;cut_info_GOMORY;cut_info_IMPLIED_BOUND;cut_info_LIFT_AND_PROJECT;cut_info_MIR;cut_info_OUTROS;cut_info_ZERO_HALF;cut_info_CLIQUE;cut_info_COVER;cut_info_FLOW;cut_info_GOMORY;cut_info_IMPLIED_BOUND;cut_info_MIR;cut_info_NETWORK;cut_info_OUTROS;cut_info_ZERO_HALF
CPLEX;capb1;600;97,82;0;635,0;13656379,578;13655123,318;1100;100100;200100;1100;100100;200100;0,0;104083000,0;0,0;13605200,0;13714000,0;32,47;1;29;1;;4804;;9;;;1;29;1;;9;;;1;;4804;;9;;;1;29;1;;4804;9;;;
GUROBI;capb1;600;47,88;0;106,0;13656379,57755;13655634,85455;1100;100100;200100;1100;100100;200100;10054000,0;103320000,0;10054000,0;13625000,0;13681000,0;38,0;;34;;4;4236;;5;17;;;34;;4;5;17;;;4;4236;;5;17;;;34;;4;4236;5;1;17;
CBC;capb1;600;598,65;3,104336929652885;115;14016552,0;13581431,0;1100;100100;200100;1100;100100;200100;13581431,0;65269370;13581431;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;capb2;120;111,13;0;436,0;13361927,449;13360680,377;1100;100100;200100;1100;100100;200100;0,0;104262000,0;0,0;13308200,0;13473400,0;41,95;1;36;;;6224;;4;;5;1;36;;;4;;5;;;6224;;4;;5;1;36;;;6224;4;;;5
GUROBI;capb2;120;120,01;3,0178;819,0;13564830,49274;13155468,38766;1100;100100;200100;1100;100100;200100;8908494,39;103320000,0;8908494,39;13091000,0;13998000,0;46,0;;34;;4;4839;;;23;;;34;;4;;23;;;4;4839;;;23;;;34;;4;4839;;1;23;
CBC;capb2;120;123,55;80,74883277339137;0;67664453,0;13026197,0;1100;100100;200100;1100;100100;200100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;capb2;300;111,27;0;436,0;13361927,449;13360680,377;1100;100100;200100;1100;100100;200100;0,0;104262000,0;0,0;13308200,0;13473400,0;42,1;1;36;;;6224;;4;;5;1;36;;;4;;5;;;6224;;4;;5;1;36;;;6224;4;;;5
GUROBI;capb2;300;301,22;1,3366;1302,0;13503816,90686;13323326,32778;1100;100100;200100;1100;100100;200100;8908494,39;103320000,0;8908494,39;13091000,0;13998000,0;46,0;;42;2;4;6059;;5;47;12;;42;2;4;5;47;12;2;4;6059;;5;47;12;;42;2;4;6059;5;1;47;12
CBC;capb2;300;311,77;80,45029197235955;0;67664453,0;13228203,0;1100;100100;200100;1100;100100;200100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;capb2;600;111,18;0;436,0;13361927,449;13360680,377;1100;100100;200100;1100;100100;200100;0,0;104262000,0;0,0;13308200,0;13473400,0;41,84;1;36;;;6224;;4;;5;1;36;;;4;;5;;;6224;;4;;5;1;36;;;6224;4;;;5
GUROBI;capb2;600;399,66;0;1557,0;13361927,44924;13361927,44924;1100;100100;200100;1100;100100;200100;8908494,39;103320000,0;8908494,39;13091000,0;13998000,0;46,0;;43;4;2;6111;;30;84;12;;43;4;2;30;84;12;4;2;6111;;30;84;12;;43;4;2;6111;30;1;84;12
CBC;capb2;600;603,43;80,36140778378864;0;67664453,0;13288346,0;1100;100100;200100;1100;100100;200100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;capb3;120;120,07;2,28;517,0;13465645,083;13159219,56;1100;100100;200100;1100;100100;200100;0,0;104501000,0;0,0;13148900,0;13737200,0;62,44;1;47;;;7247;;5;;6;1;47;;;5;;6;;;7247;;5;;6;1;47;;;7247;5;;;6
GUROBI;capb3;120;120,01;4,5388;1135,0;13296462,17703;12692967,13701;1100;100100;200100;1100;100100;200100;8081721,82;103320000,0;8081721,82;12643000,0;13743000,0;43,0;;35;;1;4835;;2;27;;;35;;1;2;27;;;1;4835;;2;27;;;35;;1;4835;2;1;27;
CBC;capb3;120;137,3;81,1401779190673;0;67689541,0;12766127,0;1100;100100;200100;1100;100100;200100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;capb3;300;206,1;0;2851,0;13198556,434;13197481,165;1100;100100;200100;1100;100100;200100;0,0;104501000,0;0,0;13148900,0;13737200,0;62,94;1;47;;;7247;;5;;6;1;47;;;5;;6;;;7247;;5;;6;1;47;;;7247;5;;;6
GUROBI;capb3;300;300,16;1,0752;1335,0;13293409,15405;13150476,85098;1100;100100;200100;1100;100100;200100;8081721,82;103320000,0;8081721,82;12643000,0;13743000,0;43,0;;50;3;3;7227;;12;53;14;;50;3;3;12;53;14;3;3;7227;;12;53;14;;50;3;3;7227;12;1;53;14
CBC;capb3;300;320,02;80,77125238594837;0;67689541,0;13015851,0;1100;100100;200100;1100;100100;200100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;capb3;600;205,42;0;2851,0;13198556,434;13197481,165;1100;100100;200100;1100;100100;200100;0,0;104501000,0;0,0;13148900,0;13737200,0;61,85;1;47;;;7247;;5;;6;1;47;;;5;;6;;;7247;;5;;6;1;47;;;7247;5;;;6
GUROBI;capb3;600;539,31;0;1638,0;13198556,434;13198556,434;1100;100100;200100;1100;100100;200100;8081721,82;103320000,0;8081721,82;12643000,0;13743000,0;43,0;;49;1;3;7442;;5;49;14;;49;1;3;5;49;14;1;3;7442;;5;49;14;;49;1;3;7442;5;1;49;14
CBC;capb3;600;608,11;80,63494033738536;0;67689541,0;13108120,0;1100;100100;200100;1100;100100;200100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;capb4;120;120,13;2,9;576,0;13458673,832;13067962,76;1100;100100;200100;1100;100100;200100;0,0;104560000,0;0,0;13057600,0;14436800,0;65,37;1;46;;;7872;;9;;;1;46;;;9;;;;;7872;;9;;;1;46;;;7872;9;;;
GUROBI;capb4;120;120,02;8,7636;1320,0;13386827,7263;12213663,70719;1100;100100;200100;1100;100100;200100;7457909,28;103320000,0;7457909,28;12153000,0;13815000,0;35,0;;19;;2;3645;;;39;22;;19;;2;;39;22;;2;3645;;;39;22;;19;;2;3645;;1;39;22
