solver;instance_source_file_name;time_limit;time;gap;nodes;best_solution;best_bound;matrix_constraints;matrix_variables;matrix_nonzeros;matrix_post_constraints;matrix_post_variables;matrix_post_nonzeros;first_relaxed;first_solution_BestInteger;first_solution_CutsBestBound;cut_info_best_bound;cut_info_best_solution;cut_info_time;cut_info_CLIQUE;cut_info_COVER;cut_info_FLOW;cut_info_GOMORY;cut_info_LIFT_AND_PROJECT;cut_info_MIR;cut_info_OUTROS;cut_info_ZERO_HALF;cut_info_CLIQUE;cut_info_COVER;cut_info_FLOW;cut_info_GOMORY;cut_info_GUB_COVER;cut_info_IMPLIED_BOUND;cut_info_LIFT_AND_PROJECT;cut_info_MIR;cut_info_OUTROS;cut_info_ZERO_HALF;cut_info_CLIQUE;cut_info_COVER;cut_info_FLOW;cut_info_GOMORY;cut_info_LIFT_AND_PROJECT;cut_info_MIR;cut_info_OUTROS;cut_info_ZERO_HALF;cut_info_FLOW;cut_info_GOMORY;cut_info_IMPLIED_BOUND;cut_info_LIFT_AND_PROJECT;cut_info_MIR;cut_info_NETWORK;cut_info_OUTROS;cut_info_ZERO_HALF;cut_info_COVER;cut_info_FLOW;cut_info_GOMORY;cut_info_IMPLIED_BOUND;cut_info_LIFT_AND_PROJECT;cut_info_MIR;cut_info_NETWORK;cut_info_OUTROS;cut_info_ZERO_HALF
CPLEX;p9;300;0,03;0;0,0;8425,8311688;8425,8311688;60;510;1010;60;510;1010;0,0;25232,9474;0,0;8425,8312;8425,8312;0,02;;;;8;;;;2;;;;8;;54;;;;2;;;;8;;;;2;;8;54;;;;;2;;;8;54;;;;;2
GUROBI;p9;300;0,02;0;1,0;8425,831168832;8425,831168832;60;510;1010;60;510;1010;6825,17333;23955,6372;6825,17333;8413,7954;8425,8311688;0,0;;;;6;;2;1;;;;;6;;50;;2;1;;;;;6;;2;1;;;6;50;;2;;1;;;;6;50;;2;;1;
CBC;p9;300;0,02;0;0;8425,831168831242;8425,831168831242;60;510;1010;60;510;1010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;p9;600;0,04;0;0,0;8425,8311688;8425,8311688;60;510;1010;60;510;1010;0,0;25232,9474;0,0;8425,8312;8425,8312;0,04;;;;8;;;;2;;;;8;;54;;;;2;;;;8;;;;2;;8;54;;;;;2;;;8;54;;;;;2
GUROBI;p9;600;0,02;0;1,0;8425,831168832;8425,831168832;60;510;1010;60;510;1010;6825,17333;23955,6372;6825,17333;8413,7954;8425,8311688;0,0;;;;6;;2;1;;;;;6;;50;;2;1;;;;;6;;2;1;;;6;50;;2;;1;;;;6;50;;2;;1;
CBC;p9;600;0,02;0;0;8425,831168831242;8425,831168831242;60;510;1010;60;510;1010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;p10;120;0,03;0;0,0;7609,5454545;7609,5454545;60;510;1010;60;510;1010;0,0;23918,9474;0,0;71,0;7609,5455;0,03;;;;9;;;;2;;;;9;;48;;;;2;;;;9;;;;2;;9;48;;;;;2;;;9;48;;;;;2
GUROBI;p10;120;0,01;0;1,0;7609,545454546;7609,545454546;60;510;1010;60;510;1010;6182,0;22641,6372;6182,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CBC;p10;120;0,03;0;0;7609,54545454551;7609,54545454551;60;510;1010;60;510;1010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;p10;300;0,08;0;0,0;7609,5454545;7609,5454545;60;510;1010;60;510;1010;0,0;23918,9474;0,0;71,0;7609,5455;0,08;;;;9;;;;2;;;;9;;48;;;;2;;;;9;;;;2;;9;48;;;;;2;;;9;48;;;;;2
